City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mataura,48,NZ,72.65,68,-46.19,168.86,72.65,14.12
kavieng,64,PG,85.07,98,-2.57,150.8,85.07,8.75
cape town,75,ZA,66,93,-33.93,18.42,66,13.87
torbay,40,CA,30.99,92,47.66,-52.73,30.99,19.46
ossora,68,RU,15.68,96,59.24,163.07,15.68,15.46
cherskiy,0,RU,4.52,60,68.75,161.3,4.52,7.96
bredasdorp,92,ZA,66.2,93,-34.53,20.04,66.2,8.05
taolanaro,,,,,,,,
hermanus,80,ZA,64,98,-34.42,19.24,64,2.15
norman wells,75,CA,30.2,92,65.28,-126.83,30.2,2.24
nyagan,32,RU,30.62,92,62.14,65.43,30.62,6.4
dikson,92,RU,29.27,96,73.51,80.55,29.27,31.34
ushuaia,75,AR,42.8,81,-54.81,-68.31,42.8,18.34
busselton,0,AU,73,27,-33.64,115.35,73,17.81
egvekinot,64,RU,9.56,84,66.32,-179.17,9.56,4.05
hobart,75,AU,53.6,49,-42.88,147.33,53.6,34.45
atuona,8,PF,82.37,100,-9.8,-139.03,82.37,16.02
east london,20,ZA,69.8,83,-33.02,27.91,69.8,11.41
metro,24,ID,84.62,91,-5.11,105.31,84.62,3.71
kuche,,,,,,,,
sentyabrskiy,,,,,,,,
chaoyang,0,CN,56.54,43,41.58,120.44,56.54,10.2
codrington,24,AU,93.99,34,-28.95,153.24,93.99,14.99
tigwi,,,,,,,,
katsuura,75,JP,54,62,33.93,134.5,54,8.05
bluff,0,AU,89.93,53,-23.58,149.07,89.93,4.5
petropavlovsk-kamchatskiy,20,RU,35.6,40,53.05,158.65,35.6,17.9
vaitupu,,,,,,,,
samusu,,,,,,,,
vaini,0,IN,78.14,62,15.34,74.49,78.14,3.71
magalia,1,US,57.2,71,39.81,-121.58,57.2,4.05
yellowknife,20,CA,25,68,62.45,-114.38,25,10.29
harper,1,US,68,87,30.3,-99.24,68,9.98
tiksi,36,RU,-1.43,68,71.64,128.87,-1.43,4.16
huilong,8,CN,50.78,90,28.89,110.18,50.78,3.04
naze,40,NG,75.2,94,5.43,7.07,75.2,4.94
te anau,92,NZ,62.57,93,-45.41,167.72,62.57,13.44
coihaique,0,CL,42.8,93,-45.58,-72.07,42.8,3.36
trinidad,8,UY,59.87,67,-33.52,-56.9,59.87,12.21
noumea,40,NC,87.8,48,-22.28,166.46,87.8,4.7
mithi,0,PK,74.9,40,24.74,69.8,74.9,5.5
hilo,90,US,75.2,69,19.71,-155.08,75.2,6.93
puerto ayora,0,EC,78.01,91,-0.74,-90.35,78.01,5.01
husavik,0,CA,19,58,50.56,-96.99,19,7.07
bathsheba,75,BB,78.8,74,13.22,-59.52,78.8,20.8
butaritari,80,KI,78.95,100,3.07,172.79,78.95,4.38
albany,75,US,41,55,42.65,-73.75,41,4.7
leningradskiy,92,RU,6.95,100,69.38,178.42,6.95,12.66
faanui,20,PF,85.61,97,-16.48,-151.75,85.61,10.98
chapais,75,CA,5,50,49.78,-74.86,5,11.41
sapao,75,CA,5,50,49.78,-74.86,5,11.41
muros,0,ES,57.99,81,42.77,-9.06,57.99,5.82
rikitea,20,PF,79.49,98,-23.12,-134.97,79.49,12.66
jamestown,76,AU,60.05,70,-33.21,138.6,60.05,15.46
yonago,75,JP,59,33,35.42,133.37,59,13.87
ondjiva,48,AO,73.64,50,-17.07,15.73,73.64,4.05
siavonga,8,ZW,75.08,78,-16.54,28.71,75.08,7.4
sao filipe,20,CV,68.6,100,14.9,-24.5,68.6,9.98
cayenne,75,GF,78.8,78,4.94,-52.33,78.8,5.82
chagda,,,,,,,,
severobaykalsk,8,RU,9.29,62,55.65,109.32,9.29,3.15
mujiayingzi,0,CN,44.93,59,42.12,118.78,44.93,7.52
nuevo progreso,40,US,75.2,83,26.05,-97.95,75.2,6.93
arraial do cabo,20,BR,77.6,94,-22.97,-42.02,77.6,8.97
vao,8,EE,30.17,90,59.1,26.19,30.17,8.75
cabo san lucas,5,MX,73.4,46,22.89,-109.91,73.4,9.19
tuktoyaktuk,75,CA,19.4,92,69.44,-133.03,19.4,13.87
tura,0,IN,76.43,69,25.52,90.21,76.43,3.71
honiara,56,SB,81.65,86,-9.43,159.96,81.65,2.48
bethel,40,US,37.4,93,60.79,-161.76,37.4,12.75
chatsu,,,,,,,,
lagoa,0,PT,59,62,37.14,-8.45,59,8.05
basco,90,US,50,93,40.33,-91.2,50,6.93
adrar,0,DZ,60.8,29,27.87,-0.29,60.8,17.22
kaeo,100,NZ,72,73,-35.1,173.78,72,5.99
talnakh,92,RU,22.97,91,69.49,88.39,22.97,16.13
lehigh acres,1,US,71.6,82,26.63,-81.62,71.6,4.7
buin,0,CL,70,55,-33.73,-70.74,70,8.05
fecamp,0,FR,46.4,81,49.76,0.37,46.4,18.34
hihifo,,,,,,,,
hamilton,75,BM,60.8,63,32.3,-64.78,60.8,4.05
toliary,,,,,,,,
new norfolk,75,AU,53.6,62,-42.78,147.06,53.6,34.45
hithadhoo,76,MV,83.27,100,-0.6,73.08,83.27,7.52
kortkeros,20,RU,34,82,61.81,51.56,34,8.95
fortuna,0,ES,52,61,38.18,-1.13,52,3.36
ambilobe,44,MG,73.19,95,-13.19,49.05,73.19,1.7
jalu,0,LY,53.93,49,29.03,21.55,53.93,11.21
saint-philippe,90,CA,30.2,92,45.36,-73.48,30.2,4.7
orumiyeh,90,IR,41,100,37.55,45.08,41,6.93
esso,68,RU,11.81,80,55.93,158.7,11.81,3.94
